Sample, R1, STROBE, L
41519, 0, 0, 0
41523, 0, 1, 0
41529, 0, 0, 0
41534, 0, 1, 0
41539, 0, 0, 0
41543, 1, 0, 0
41544, 1, 1, 0
41549, 1, 0, 0
41554, 1, 1, 0
41560, 1, 0, 0
41564, 1, 1, 0
41570, 1, 0, 0
41575, 1, 1, 0
41580, 1, 0, 0
41584, 0, 0, 0
41585, 0, 1, 0
41590, 0, 0, 0
41595, 1, 1, 0
41601, 1, 0, 0
41605, 1, 1, 0
41611, 1, 0, 0
41615, 1, 1, 0
41621, 1, 0, 0
41625, 0, 0, 0
41626, 0, 1, 0
41631, 0, 0, 0
41636, 1, 1, 0
41642, 1, 0, 0
41646, 0, 1, 0
41652, 0, 0, 0
41656, 0, 1, 0
41662, 0, 0, 0
41667, 0, 1, 0
41672, 0, 0, 0
41677, 0, 1, 0
41683, 0, 0, 0
41687, 0, 1, 0
41693, 0, 0, 0
41697, 0, 1, 0
41703, 0, 0, 0
41707, 1, 0, 0
41708, 1, 1, 0
41713, 1, 0, 0
41718, 1, 1, 0
41724, 1, 0, 0
41728, 1, 1, 0
41734, 1, 0, 0
41738, 1, 1, 0
41744, 1, 0, 0
41748, 0, 0, 0
41749, 0, 1, 0
41754, 0, 0, 0
41758, 1, 0, 0
41759, 1, 1, 0
41764, 1, 0, 0
41769, 1, 1, 0
41775, 1, 0, 0
41779, 1, 1, 0
41785, 1, 0, 0
41789, 0, 0, 0
41790, 0, 1, 0
41795, 0, 0, 0
41799, 1, 0, 0
41800, 1, 1, 0
41805, 1, 0, 0
41810, 0, 1, 0
41816, 0, 0, 0
41820, 0, 1, 0
41826, 0, 0, 0
41831, 0, 1, 0
41836, 0, 0, 0
41841, 0, 1, 0
41846, 0, 0, 0
41851, 0, 1, 0
41857, 0, 0, 0
41861, 0, 1, 0
41867, 0, 0, 0
41871, 1, 0, 1
41872, 1, 1, 1
41877, 1, 0, 1
41882, 1, 1, 1
41887, 1, 0, 1
41892, 1, 1, 1
41898, 1, 0, 1
41902, 1, 1, 1
41908, 1, 0, 1
41912, 0, 1, 1
41918, 0, 0, 1
41922, 1, 0, 1
41923, 1, 1, 1
41928, 1, 0, 1
41933, 1, 1, 1
41939, 1, 0, 1
41943, 1, 1, 1
41949, 1, 0, 1
41953, 0, 0, 0
42035, 0, 1, 1
42041, 0, 0, 1
42046, 0, 1, 1
42051, 0, 0, 1
42056, 0, 1, 1
42061, 0, 0, 1
42066, 0, 1, 1
42072, 0, 0, 1
42076, 0, 1, 1
42082, 0, 0, 1
42087, 0, 1, 1
42092, 0, 0, 1
42097, 0, 1, 1
42102, 0, 0, 1
42107, 0, 1, 1
42113, 0, 0, 1
42117, 0, 1, 1
42123, 0, 0, 1
42128, 0, 1, 1
42133, 0, 0, 1
42138, 0, 1, 1
42143, 0, 0, 1
42148, 0, 1, 1
42154, 0, 0, 1
42158, 0, 1, 1
42164, 0, 0, 1
42168, 0, 1, 1
42174, 0, 0, 1
42179, 0, 0, 0
42261, 0, 1, 0
42266, 0, 0, 0
42270, 1, 0, 0
42271, 1, 1, 0
42277, 1, 0, 0
42281, 0, 1, 0
42287, 0, 0, 0
42291, 0, 1, 0
42297, 0, 0, 0
42302, 0, 1, 0
42307, 0, 0, 0
42312, 0, 1, 0
42317, 0, 0, 0
42322, 0, 1, 0
42328, 0, 0, 0
42332, 0, 1, 0
42338, 0, 0, 0
42343, 0, 1, 0
42348, 0, 0, 0
42352, 1, 0, 0
42353, 1, 1, 0
42358, 1, 0, 0
42363, 0, 1, 0
42369, 0, 0, 0
42373, 0, 1, 0
42379, 0, 0, 0
42384, 0, 1, 0
42389, 0, 0, 0
42394, 0, 1, 0
42399, 0, 0, 0
42404, 0, 1, 0
42410, 0, 0, 0
42414, 0, 1, 0
42420, 0, 0, 0
42424, 0, 1, 0
42430, 0, 0, 0
42434, 1, 0, 0
42435, 1, 1, 0
42440, 1, 0, 0
42445, 0, 1, 0
42451, 0, 0, 0
42455, 0, 1, 0
42461, 0, 0, 0
42465, 0, 1, 0
42471, 0, 0, 0
42476, 0, 1, 0
42481, 0, 0, 0
42486, 0, 1, 0
42492, 0, 0, 0
42496, 0, 1, 0
42502, 0, 0, 0
42506, 0, 1, 0
42512, 0, 0, 0
42516, 1, 0, 0
42517, 1, 1, 0
42522, 1, 0, 0
42527, 0, 1, 0
42533, 0, 0, 0
42537, 0, 1, 0
42543, 0, 0, 0
42547, 0, 1, 0
42553, 0, 0, 0
42558, 0, 1, 0
42563, 0, 0, 0
42568, 0, 1, 0
42573, 0, 0, 0
42578, 0, 1, 0
42584, 0, 0, 0
42588, 0, 1, 0
42594, 0, 0, 0
42598, 1, 0, 0
42599, 1, 1, 0
42604, 1, 0, 0
42608, 0, 0, 0
42609, 0, 1, 0
42614, 0, 0, 0
42619, 0, 1, 0
42625, 0, 0, 0
42629, 0, 1, 0
42635, 0, 0, 0
42640, 0, 1, 0
42645, 0, 0, 0
42650, 0, 1, 0
42655, 0, 0, 0
42660, 0, 1, 0
42666, 0, 0, 0
42670, 0, 1, 0
42676, 0, 0, 0
42680, 1, 1, 0
42686, 1, 0, 0
42690, 0, 0, 0
42691, 0, 1, 0
42696, 0, 0, 0
42701, 0, 1, 0
42707, 0, 0, 0
42711, 0, 1, 0
42717, 0, 0, 0
42721, 0, 1, 0
42727, 0, 0, 0
42732, 0, 1, 0
42737, 0, 0, 0
42742, 0, 1, 0
42748, 0, 0, 0
42752, 0, 1, 0
42758, 0, 0, 0
42762, 1, 1, 0
42768, 1, 0, 0
42772, 0, 0, 0
42773, 0, 1, 0
42778, 0, 0, 0
42783, 0, 1, 0
42789, 0, 0, 0
42793, 0, 1, 0
42799, 0, 0, 0
42803, 0, 1, 0
42809, 0, 0, 0
42814, 0, 1, 0
42819, 0, 0, 0
42824, 0, 1, 0
42829, 0, 0, 0
42834, 0, 1, 0
42840, 0, 0, 0
42844, 1, 1, 0
42850, 1, 0, 0
42854, 0, 0, 0
42855, 0, 1, 0
42860, 0, 0, 0
42865, 0, 1, 0
42870, 0, 0, 0
42875, 0, 1, 0
42881, 0, 0, 0
42885, 0, 1, 0
42891, 0, 0, 0
42896, 0, 1, 0
42901, 0, 0, 0
42906, 0, 1, 0
42911, 0, 0, 0
42916, 0, 1, 0
42922, 0, 0, 0
42926, 1, 1, 0
42932, 1, 0, 0
42936, 0, 0, 0
42937, 0, 1, 0
42942, 0, 0, 0
42947, 0, 1, 0
42952, 0, 0, 0
42957, 0, 1, 0
42963, 0, 0, 0
42967, 0, 1, 0
42973, 0, 0, 0
42977, 0, 1, 0
42983, 0, 0, 0
42988, 0, 1, 0
42993, 0, 0, 0
42998, 0, 1, 0
43004, 0, 0, 0
43008, 1, 1, 0
43014, 1, 0, 0
43018, 0, 1, 0
43024, 0, 0, 0
43029, 0, 1, 0
43034, 0, 0, 0
