Sample, R1, STROBE, L
491401, 0, 0, 0
491407, 0, 1, 0
491414, 0, 0, 0
491419, 1, 0, 0
491420, 1, 1, 0
491427, 1, 0, 0
491433, 1, 1, 0
491440, 1, 0, 0
491445, 1, 1, 0
491452, 1, 0, 0
491458, 1, 1, 0
491465, 1, 0, 0
491471, 0, 1, 0
491478, 0, 0, 0
491483, 1, 0, 0
491484, 1, 1, 0
491491, 1, 0, 0
491497, 1, 1, 0
491504, 1, 0, 0
491509, 1, 1, 0
491516, 1, 0, 0
491522, 0, 1, 0
491529, 0, 0, 0
491534, 1, 0, 0
491535, 1, 1, 0
491542, 1, 0, 0
491547, 0, 0, 0
491548, 0, 1, 0
491555, 0, 0, 0
491561, 0, 1, 0
491568, 0, 0, 0
491573, 0, 1, 0
491580, 0, 0, 0
491586, 0, 1, 0
491593, 0, 0, 0
491599, 0, 1, 0
491606, 0, 0, 0
491612, 0, 1, 0
491619, 0, 0, 0
491624, 1, 0, 0
491625, 1, 1, 0
491632, 1, 0, 0
491637, 1, 1, 0
491644, 1, 0, 0
491650, 1, 1, 0
491657, 1, 0, 0
491663, 1, 1, 0
491670, 1, 0, 0
491675, 0, 0, 0
491676, 0, 1, 0
491683, 0, 0, 0
491688, 1, 0, 0
491689, 1, 1, 0
491696, 1, 0, 0
491701, 1, 1, 0
491708, 1, 0, 0
491714, 1, 1, 0
491721, 1, 0, 0
491727, 0, 1, 0
491734, 0, 0, 0
491739, 1, 0, 0
491740, 1, 1, 0
491747, 1, 0, 0
491752, 0, 0, 0
491753, 0, 1, 0
491760, 0, 0, 0
491765, 0, 1, 0
491772, 0, 0, 0
491778, 0, 1, 0
491785, 0, 0, 0
491791, 0, 1, 0
491798, 0, 0, 0
491804, 0, 1, 0
491811, 0, 0, 0
491817, 0, 1, 0
491824, 0, 0, 0
491829, 1, 1, 0
491836, 1, 0, 0
491842, 1, 1, 0
491849, 1, 0, 0
491855, 1, 1, 0
491862, 1, 0, 0
491868, 1, 1, 0
491875, 1, 0, 0
491880, 0, 0, 0
491881, 0, 1, 0
491888, 0, 0, 0
491893, 1, 1, 0
491900, 1, 0, 0
491906, 1, 1, 0
491913, 1, 0, 0
491919, 1, 1, 0
491926, 1, 0, 0
491931, 0, 0, 0
491932, 0, 1, 0
491939, 0, 0, 0
491944, 1, 0, 0
491945, 1, 1, 0
491952, 1, 0, 0
491957, 0, 1, 0
491964, 0, 0, 0
491970, 0, 1, 0
491977, 0, 0, 0
491983, 0, 1, 0
491990, 0, 0, 0
491996, 0, 1, 0
492003, 0, 0, 0
492009, 0, 1, 0
492016, 0, 0, 0
492021, 0, 1, 0
492028, 0, 0, 0
492034, 1, 1, 0
492041, 1, 0, 0
492047, 1, 1, 0
492054, 1, 0, 0
492060, 1, 1, 0
492067, 1, 0, 0
492073, 1, 1, 0
492080, 1, 0, 0
492085, 0, 1, 0
492092, 0, 0, 0
492098, 1, 1, 0
492105, 1, 0, 0
492111, 1, 1, 0
492118, 1, 0, 0
492124, 1, 1, 0
492131, 1, 0, 0
492136, 0, 0, 0
492137, 0, 1, 0
492144, 0, 0, 0
492149, 1, 1, 0
492156, 1, 0, 0
492162, 0, 1, 0
492169, 0, 0, 0
492175, 0, 1, 0
492182, 0, 0, 0
492188, 0, 1, 0
492195, 0, 0, 0
492201, 0, 1, 0
492208, 0, 0, 0
492213, 0, 1, 0
492220, 0, 0, 0
492226, 0, 1, 0
492233, 0, 0, 0
492238, 1, 0, 0
492239, 1, 1, 0
492246, 1, 0, 0
492252, 1, 1, 0
492259, 1, 0, 0
492265, 1, 1, 0
492272, 1, 0, 0
492277, 1, 1, 0
492284, 1, 0, 0
492290, 0, 1, 0
492297, 0, 0, 0
492302, 1, 0, 0
492303, 1, 1, 0
492310, 1, 0, 0
492316, 1, 1, 0
492323, 1, 0, 0
492329, 1, 1, 0
492336, 1, 0, 0
492341, 0, 1, 0
492348, 0, 0, 0
492354, 1, 1, 0
492361, 1, 0, 0
492367, 0, 1, 0
492374, 0, 0, 0
492380, 0, 1, 0
492387, 0, 0, 0
492393, 0, 1, 0
492400, 0, 0, 0
492405, 0, 1, 0
492412, 0, 0, 0
492418, 0, 1, 0
492425, 0, 0, 0
492431, 0, 1, 0
492438, 0, 0, 0
492443, 1, 0, 0
492444, 1, 1, 0
492451, 1, 0, 0
492457, 1, 1, 0
492464, 1, 0, 0
492469, 1, 1, 0
492476, 1, 0, 0
492482, 1, 1, 0
492489, 1, 0, 0
492495, 0, 1, 0
492502, 0, 0, 0
492507, 1, 0, 0
492508, 1, 1, 0
492515, 1, 0, 0
492521, 1, 1, 0
492528, 1, 0, 0
492533, 1, 1, 0
492540, 1, 0, 0
492546, 0, 1, 0
492553, 0, 0, 0
492558, 1, 0, 0
492559, 1, 1, 0
492566, 1, 0, 0
492571, 0, 0, 0
492572, 0, 1, 0
492579, 0, 0, 0
492585, 0, 1, 0
492592, 0, 0, 0
492597, 0, 1, 0
492604, 0, 0, 0
492610, 0, 1, 0
492617, 0, 0, 0
492623, 0, 1, 0
492630, 0, 0, 0
492636, 0, 1, 0
492643, 0, 0, 0
492648, 1, 0, 0
492649, 1, 1, 0
492656, 1, 0, 0
492661, 1, 1, 0
492668, 1, 0, 0
492674, 1, 1, 0
492681, 1, 0, 0
492687, 1, 1, 0
492694, 1, 0, 0
492699, 0, 0, 0
492700, 0, 1, 0
492707, 0, 0, 0
492712, 1, 0, 0
492713, 1, 1, 0
492720, 1, 0, 0
492725, 1, 1, 0
492732, 1, 0, 0
492738, 1, 1, 0
492745, 1, 0, 0
492751, 0, 1, 0
492758, 0, 0, 0
492763, 1, 0, 0
492764, 1, 1, 0
492771, 1, 0, 0
492776, 0, 0, 0
492777, 0, 1, 0
492784, 0, 0, 0
492789, 0, 1, 0
492796, 0, 0, 0
492802, 0, 1, 0
492809, 0, 0, 0
492815, 0, 1, 0
492822, 0, 0, 0
492828, 0, 1, 0
492835, 0, 0, 0
492841, 0, 1, 0
492848, 0, 0, 0
492853, 1, 1, 1
492860, 1, 0, 1
492866, 1, 1, 1
492873, 1, 0, 1
492879, 1, 1, 1
492886, 1, 0, 1
492892, 1, 1, 1
492899, 1, 0, 1
492904, 0, 0, 1
492905, 0, 1, 1
492912, 0, 0, 1
492917, 1, 1, 1
492924, 1, 0, 1
492930, 1, 1, 1
492937, 1, 0, 1
492943, 1, 1, 1
492950, 1, 0, 1
492955, 0, 0, 1
492956, 0, 0, 0
493058, 0, 1, 1
493065, 0, 0, 1
493071, 0, 1, 1
493078, 0, 0, 1
493084, 0, 1, 1
493091, 0, 0, 1
493097, 0, 1, 1
493104, 0, 0, 1
493109, 0, 1, 1
493116, 0, 0, 1
493122, 0, 1, 1
493129, 0, 0, 1
493135, 0, 1, 1
493142, 0, 0, 1
493148, 0, 1, 1
493155, 0, 0, 1
493161, 0, 1, 1
493168, 0, 0, 1
493173, 0, 1, 1
493180, 0, 0, 1
493186, 0, 1, 1
493193, 0, 0, 1
493199, 0, 1, 1
493206, 0, 0, 1
493212, 0, 1, 1
493219, 0, 0, 1
493225, 0, 1, 1
493232, 0, 0, 1
493237, 0, 0, 0
493340, 0, 1, 0
493347, 0, 0, 0
493352, 1, 0, 0
493353, 1, 1, 0
493360, 1, 0, 0
493365, 0, 1, 0
493372, 0, 0, 0
493378, 0, 1, 0
493385, 0, 0, 0
493391, 0, 1, 0
493398, 0, 0, 0
493404, 0, 1, 0
493411, 0, 0, 0
493417, 0, 1, 0
493424, 0, 0, 0
493429, 0, 1, 0
493436, 0, 0, 0
493442, 0, 1, 0
493449, 0, 0, 0
493455, 1, 1, 0
493462, 1, 0, 0
493467, 0, 0, 0
493468, 0, 1, 0
493475, 0, 0, 0
493481, 0, 1, 0
493488, 0, 0, 0
493493, 0, 1, 0
493500, 0, 0, 0
493506, 0, 1, 0
493513, 0, 0, 0
493519, 0, 1, 0
493526, 0, 0, 0
493532, 0, 1, 0
493539, 0, 0, 0
493545, 0, 1, 0
493552, 0, 0, 0
493557, 1, 1, 0
